Domain/URL;Authority Score;Referring Domains;Backlinks;Referring IPs;Monthly Visits;Organic Traffic
zigdao.com;2;178;948;183;4.2K;548
signals.blue;14;196;443;204;134;31
4c-trading.com;2;376;2.2K;328;112;2
cryptoalarm.net;4;138;359;103;n/a;n/a
learn2.trade;30;6.6K;39K;5.6K;848;2.1K
fatpigsignals.com;18+4;285;3.1K;251;894;111
cryptosignals.guru;3;23;44;24;n/a;n/a
2moon.co;3;79;194;33;n/a;1
universalcryptosignals.com;4;388;7.7K;284;286;n/a
dash2trade.com;31+1;1.9K;34.5K;2.2K;4.5K;7.4K
wundertrading.com;34;2.2K;91.8K;2.4K;38.6K;15.9K
cryptobasescanner.com;12;177;5.5K;241;n/a;26
bitbotapp.com;9;65;76;58;n/a;505
avatrade.com;46;16.3K;7.9M;14.3K;560K;137K
momentumcryptos.com;2;162;626;193;113K;n/a
kryll.io;28;3.6K;94.1K;3.1K;10K;1.7K
3commas.io;39;12.5K;2.3M;6.9K;829K;80.8K
cryptohopper.com;36;7.8K;308K;6.6K;742K;21.5K
altrady.com;26;1.6K;10.9K;1.7K;28.9K;1.1K
cornix.io;28+1;771;2.8K;594;92.2K;3.4K
bitsgap.com;36;5.8K;198K;5.1K;279K;17.2K
tradesanta.com;30-3;7.6K;43.4K;4.5K;114K;8.7K
app.cryptohero.ai;21;53;8K;69;3K;241
haasonline.com;27;4.4K;247K;3.7K;6.6K;1K
falconx.io;33;1.5K;6.4K;1.5K;2.1K;10K
coinbase.com;79;115K;46.3M;83K;32.1M;10.9M
kraken.com;64-1;39K;20.3M;33K;5.3M;1.3M
